WorkbookNumber,WorkbookName,LearningGoalNumber,LearningGoalText
0,CLO,1,Develop interactive graphical applications in 2D and 3D using different types of APIs
0,CLO,2,Analyze and apply coordinate systems and transformations in 2D and 3D to model objects hierarchically and prepare them for viewing
0,CLO,3,"Explain and apply shape modeling techniques, including parametric curves and meshes, in 2D and 3D"
0,CLO,4,Select and apply appearance modeling techniques including texturing and lighting
0,CLO,5,"Explain the structure and operation of the graphics pipeline and hardware, and use this understanding to implement and optimize efficient graphical applications"
0,CLO,6,Identify the issues in discrete representations and select approaches to mitigate them
0,CLO,7,Discuss how imagery is perceived and the impact of perception on computer generated imagery
1,Introduction,1,"Understand and use the class mechanics (GitHub classroom links, Git, local servers, editing pages, workbook organization, ...)"
1,Introduction,2,"Review basic HTML and JavaScript that you will need for class including attaching programs to web pages"
1,Introduction,3,"Understand event-driven- and animation-loop-driven- programming, including controlling timing with browser animation loops"
1,Introduction,4,"Understand basic graphics concepts including object-based vs. image-based graphics, immediate mode vs. retained mode graphics APIs, flicker-based displays, buffering, and display lists"
1,Introduction,5,Make pictures and interactive animations with HTML Canvas5
2,Transformations,1,"Understand the concepts of transformation and coordinate systems and their use in graphics"
2,Transformations,2,"Understand how basic transformations (rotate, translate, scale,etc.) are used and composed to achieve different effects"
2,Transformations,3,"Undertand how transformations are composed to achieve different effects"
2,Transformations,4,"Understand the mathematical representation and application of transformations for important types, including affine transformations using homogeneous coordinates and matrices"
2,Transformations,5,"Understand how transformations are used in different graphics APIs including HTML Canvas and SVG"
2,Transformations,6,"Understand and apply the concepts of hierarchical modeling and scene graph representations"
2,Transformations,7,"Understand the ideas of kinematics and inverse kinematics to create articulated models and animate them"